date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1,spread_prob
11/19/1922,1922,0,0,ARI,CBD,1564.38,1641.916,0.4819670707,0,7,0,
11/19/1922,1922,0,0,BFF,AKR,1595.833,1556.972,0.6451692971,3,3,0.5,
11/26/1922,1922,0,0,CHI,AKR,1663.899,1561.399,0.7239634269,20,10,1,
11/26/1922,1922,0,0,TOL,COL,1565.678,1317.532,0.8584667502,7,6,1,
11/26/1922,1922,0,0,CBD,ARI,1661.847,1544.45,0.7407675124,20,3,1,
11/26/1922,1922,0,0,RAC,HAM,1484.986,1383.402,0.7229084412,6,0,1,
11/26/1922,1922,0,0,GB,MIL,1449.683,1364.563,0.7035291029,13,0,1,
11/26/1922,1922,0,0,BFF,OOR,1591.406,1273.308,0.9007234926,7,19,0,
11/30/1922,1922,0,0,RAC,MIL,1495.011,1349.914,0.7701955211,3,0,1,
11/30/1922,1922,0,0,COL,OOR,1315.814,1329.257,0.573656628,6,18,0,
11/30/1922,1922,0,0,ARI,CHI,1530.611,1676.201,0.3860578844,6,0,1,
11/30/1922,1922,0,0,RCH,BFF,1445.625,1535.457,0.4643246053,0,21,0,
11/30/1922,1922,0,0,CBD,AKR,1675.686,1549.098,0.7507973178,14,0,1,
12/3/1922,1922,0,0,BFF,AKR,1563.841,1536.682,0.6296020183,16,0,1,
12/3/1922,1922,0,0,CHI,TOL,1651.399,1567.396,0.7021862135,22,0,1,
12/3/1922,1922,0,0,CBD,MIL,1688.101,1344.098,0.9132841618,40,6,1,
12/3/1922,1922,0,0,RAC,GB,1500.827,1464.332,0.642045246,0,14,0,
12/3/1922,1922,0,0,ARI,DAY,1555.413,1495.119,0.6728822694,3,7,0,
12/10/1922,1922,0,0,TOL,CBD,1549.905,1693.301,0.3890556096,0,19,0,
12/10/1922,1922,0,0,ARI,CHI,1532.446,1668.89,0.398608903,9,0,1,
9/30/1923,1923,0,0,DUL,AKR,1300,1512.692,0.2993943669,10,7,1,
9/30/1923,1923,0,0,MIL,OOR,1394.266,1407.927,0.5733496807,13,2,1,
9/30/1923,1923,0,0,RII,CHI,1557.347,1595.177,0.5390212609,3,0,1,
